名稱,類別,單位價格,熱量(kcal),蛋白(g),碳水化合物(g),維生素A(I.U.),鈣(mg),脂肪(g),膽固醇(mg),鈉(mg),膳食纖維(g),維生素C(mg)
黃鱔,海鮮,133.3,88.1099,17.616,0.9618,78.8725,39.295,1.429,113.65,54.763,0,2.011
日本花鱸平均值,海鮮,4.6,97.9124,19.8504,0.8831,300.139,16.5808,1.458,59.0346,61.5287,0,1.0218
棕點石斑魚,海鮮,21.6,115.2697,19.083,0,21.3365,12.85,3.7456,86.671,78.821,0,0.742
鞍帶石斑魚片,海鮮,21.6,155.3576,19.112,0.2161,0,11.058,8.1762,90.757,118.325,0,0.327
台灣鯛魚片(生),火鍋,56.5,109.8465,18.1545,2.5148,6.1216,14.335,3.5839,38.375,46.0712,0,1.1055
鮪魚生魚片,生魚片,49,100.393,23.3,0,56.6661,4,0.1,31.7,27,0,0
鯖魚(生),鯖魚,45.8,416.9758,14.36,0.1804,610.3606,6.56,39.43,60.2,55.53,0,0
鯖魚(炒),鯖魚,45.8,410.1904,16.7,0.0845,527.0947,1.94,37.57,67.14,67.63,0,0
鯖魚(炸),鯖魚,45.8,555.2118,17.16,0.0708,341.7966,7.77,53.43,50.69,75.42,0,0
"鯖魚(烤,150度,10分)",鯖魚,45.8,411.6293,16.53,0,547.8945,5.19,37.81,77.01,57.9,0,0
"鯖魚(烤,150度,20分)",鯖魚,45.8,395.5101,19.05,0,440.7289,5.19,34.83,71.71,82.11,0,0
"鯖魚(烤,150度,30分)",鯖魚,45.8,535.9826,19.86,0,542.0946,15.01,50.02,76.66,78.73,0,0
"鯖魚(烤,180度,10分)",鯖魚,45.8,373.0521,20.17,0,380.1629,7.54,31.81,80.44,82.18,0,0
"鯖魚(烤,210度,10分)",鯖魚,45.8,472.4603,19.01,0,565.761,6.61,43.38,64.13,74.18,0,0
鯖魚(煮),鯖魚,45.8,374.813,14.9,0.4381,417.6625,6.1,34.5,72.22,51.23,0,0
鯖魚(煎),鯖魚,45.8,403.3312,20.01,0,357.9298,17.25,35.94,64.45,86.19,0,0
秋刀魚,秋刀魚,12,313.894,18.8,0,43.3329,11,25.9,43,55,0,0.1
茶葉蛋平均值,小吃,10,141.2559,13.6533,2.2218,314.0654,49.8581,9.0607,390.0585,443.9512,0,0
茶葉蛋(市售),小吃,10,137.7131,13.522,3.5119,462.1644,49.7307,8.7314,402.9553,429.5443,0,0
茶葉蛋(浸泡隔夜),小吃,10,144.7987,13.7846,0.9316,165.9663,49.9855,9.39,377.1616,458.358,0,0
荷包蛋(不加油),小吃,8,161.9092,13.9765,1.4475,477.9236,52.0376,11.1942,449.08,151.3373,0,0
荷包蛋(加油1小匙),小吃,8,192.2388,13.0145,1.6273,337.2033,54.7774,14.8524,433.885,140.4024,0,0
溫泉蛋,小吃,12,127.1723,12.945,3.7843,698.173,52.053,7.8417,392.773,493.758,0,0
煎蛋(不加油),小吃,8,160.5316,13.506,4.8791,382.0528,58.2273,11.2689,472.53,145.3315,0,0
滷蛋平均值,小吃,10,171.4212,16.4022,4.6187,385.3262,51.7739,11.0762,479.3344,1155.9177,0,0
蒸蛋平均值,小吃,15,64.4478,5.2615,2.1604,89.5663,24.0122,4.6017,156.2567,151.0777,0,0
蒸蛋(市售),小吃,15,31.5742,3.58,3.373,120.3321,20.24,1.77,45.03,326.56,0,0
蒸蛋(微波爐),小吃,15,82.2243,6.3665,1.7743,78.8475,25.27,6.0384,202.16,65.0659,0,0
蒸蛋(電鍋),小吃,15,79.5448,5.838,1.334,69.5193,26.5266,5.9968,221.58,61.6071,0,0
高脂鮮乳,牛奶,7.2,72.5358,3.191,6.147,150.4318,115.97,3.9956,15.04,38.82,0,0.053
全脂鮮乳平均值,牛奶,7.2,62.9689,3.0241,4.836,142.947,99.9116,3.5655,13.1185,38.2058,0,0.3682
全脂鮮乳(1月取樣),牛奶,7.2,62.3801,2.926,4.691,220.2311,116.99,3.61,12.34,39.77,0,0.452
全脂鮮乳(4月取樣),牛奶,7.2,61.798,2.936,4.6472,111.6989,91.75,3.5582,13.1,34.59,0,0.583
全脂鮮乳(6月取樣),牛奶,7.2,62.6849,3.187,4.5756,114.5567,100.574,3.5687,13.398,35.976,0,0.942
全脂鮮乳(9月取樣),牛奶,7.2,63.8406,2.78,5.294,147.3452,88.684,3.5816,12.594,32.865,0,0.4
全脂鮮乳(10月取樣),牛奶,7.2,64.0486,3.04,4.7808,121.8721,97.423,3.7049,12.6325,35.7895,0,0.0455
全脂鮮乳(11月取樣),牛奶,7.2,61.794,3.075,4.625,129.9987,109.5,3.5,13.775,46.75,0,0.05
全脂鮮乳(12月取樣),牛奶,7.2,64.2362,3.225,5.2382,116.8988,94.46,3.435,13.99,41.7,0,0.105
中脂鮮乳,牛奶,7.2,48.4924,3.1333,4.8333,65.555,107,1.8667,10,46.3333,0,0.0667
低脂鮮乳,牛奶,7.2,43.4609,3.0537,5.0172,60.6751,97.6493,1.252,7.4183,36.2183,0,0.4177
脫脂稀釋發酵乳,飲料,6.4,68.0919,1.0663,15.8363,1.6667,34.4791,0.0535,0.6225,21.2265,0,0
脫脂稀釋發酵乳(鈣強化),飲料,6.4,72.2203,1.015,16.8801,0,51.8616,0.0711,1.44,19.66,0,0
全脂濃稠發酵乳,飲料,6.4,90.1733,4.06,11.3083,65.2227,89.8877,3.1889,11.441,52.261,0,0.217
中脂濃稠發酵乳,飲料,6.4,80.4898,2.873,12.563,102.0723,87.368,2.2792,9.624,38.07,0.8835,0.345
中脂濃稠發酵乳(無糖&纖維強化),飲料,6.4,73.1358,3.163,10.4424,41.3696,94.2018,2.217,9.957,36.601,0.6194,0.304
中脂濃稠發酵乳(草莓),飲料,6.4,87.6262,3.129,12.9748,80.0592,77.8986,2.687,9.698,45.628,0.486,0.324
低脂濃稠發酵乳,飲料,6.4,73.3448,2.3403,13.5884,15.5555,59.1644,1.07,5.1933,30.247,0,0
脫脂濃稠發酵乳,飲料,6.4,63.2447,2.988,12.0514,14.1949,75.9377,0.3931,3.6255,25.8445,0.2254,0.1365
脫脂濃稠發酵乳(低熱量),飲料,6.4,36.967,2.041,6.933,0,69.8006,0.119,2.48,30.653,0,0.185
脫脂濃稠發酵乳(草莓),飲料,6.4,67.938,2.3,13.8124,9.9999,56,0.3876,8.6,49,0,0
脫脂濃稠發酵乳(啤酒酵母),飲料,6.4,34.4808,2.113,6.3641,0,73.4167,0.0636,2.14,27.659,0,0.276
高脂凝態發酵乳(纖維強化),飲料,6.4,91.2755,3.207,11.9153,429.619,96.903,3.8007,15.663,42.134,1.71,0
全脂凝態發酵乳,飲料,6.4,97.2045,3.148,13.6244,104.0473,103.1542,3.3461,13.0125,68.8405,0,0.063
中脂凝態發酵乳(草莓),飲料,6.4,101.9675,3.7,15.6865,103.3323,83,2.7135,9.7,58,0,0
中脂凝態發酵乳(蘆薈),飲料,6.4,89.1961,1.74,15.0862,52.4895,113.9693,2.5227,8.772,37.624,0.4065,0
脫脂凝態發酵乳(纖維強化),飲料,6.4,83.9053,4.056,15.9478,26.0997,142.356,0.4535,5.571,51.488,0.0957,0.025
脫脂保久稀釋發酵乳,飲料,6.4,45.7419,0.137,11.0179,0,10.4216,0.1247,0,28.484,0,0.041
脫脂保久濃稠發酵乳(草莓&蘋果),飲料,6.4,68.2,3,13.6,0,67,0.2,4,57,0,0
高脂鮮羊乳,牛奶,12,65.2527,3.37,4.1709,143.0389,110.43,3.9501,16.6725,37.2105,0,0.035
中脂鮮羊乳,牛奶,12,47.7281,2.697,3.8832,62.666,63.15,2.41,8.83,33.64,0,0
保久羊乳,牛奶,12,58.8631,2.9535,4.5407,123.9671,104.604,3.2627,13.566,46.3995,0,1.045
中脂調味保久羊乳(巧克力),牛奶,12,58.6278,1.1,10.2697,14.6599,32.931,1.461,3.627,29.282,0,0
中脂調味保久羊乳(果汁),牛奶,12,75.2946,2.94,9.5076,2,102.09,2.8338,10.69,40.98,0,19.33
米漿(散裝),飲料,3.7,60.3,0.6,13.7,3.3333,4,0.5,0,2,0.7,0
木瓜牛奶,果汁,10,41.1636,1.653,7.6653,484.2382,37.963,0.5778,3.85,9.287,0.6549,0
西瓜汁(非原汁),果汁,5,29.72,1.105,6.1052,670.5115,3.323,0.1188,0,1.201,0.095,3.55
芭樂汁(非原汁),果汁,5,44.97,0.15,10.96,0,3,0.07,0,24,0.05,10.6
柳橙汁(非原汁),果汁,5,50.188,0.11,12.31,136.1612,3,0.06,0,22,0.016,9.95
豆漿,飲料,4.4,52.7704,2.8028,8.7223,0.8433,15.2478,1.0884,0,35.9128,1.5628,0.7325
豆漿(無糖),飲料,4.4,32.4456,3.637,0.7335,0,14.194,1.945,0,2.223,1.2707,0
可樂,飲料,4.6,51.36,0,12.84,0,0.82,0,0,6.62,0,0
可樂(低熱量),飲料,4.6,1.32,0,0.33,0,1.06,0,0,9.62,0,0
沙士,飲料,4.6,36.68,0,9.17,1.0833,1.5,0,0,4.65,0,0
加鹽沙士,飲料,4.6,62.2465,0.834,5.0569,0,0.997,4.2981,0,17.296,0,0
沙士(低糖),飲料,4.6,43.4148,0,10.8537,0,0,0,0,0,0,0
汽水(綜合口味),飲料,4.6,42.34,0,10.585,0,1.555,0,0,7.99,0,0
汽水(維生素強化),飲料,4.6,45.88,0,11.47,17.8493,2.42,0,0,10.01,0,20.61
生啤酒,酒,7.5,49.5288,0.389,8.2432,0,0.69,0,0,2.3,0,0.2
啤酒,酒,7.5,49.0056,0,8.8764,0,0,0,0,2.55,0,1.43
雞精,雞精,50,34.126,8.581,0,0,2.28,0,0,86.37,0,0.19
冷藏寧波年糕,糕餅,6.6,218.3409,3.9283,49.6575,0,4.0597,0.5797,,62.0457,0.6098,0
冷藏甜年糕,糕餅,6.6,240.7192,2.296,57.2372,0,6.44,0.39,,15.11,0.4618,
冷藏廣式蘿蔔糕,蘿蔔糕,7,109.1234,2.1605,20.3836,7.3833,6.3267,2.3036,5.2877,251.0353,0.8927,1.1618
包餡甜麻糬(紅豆),麻糬,30,325.1414,10.02,65.679,0,8.149,2.9224,,44.015,1.9781,0
鹹麻糬,麻糬,30,244.9,8.7,43.2,250.8236,6,4.5,18,272,1.6,0
車輪餅(紅豆),車輪餅,70,174.0688,2.057,42.3062,19.2745,31.773,1.0632,9.74,107.646,6.4764,0
車輪餅(菜脯),車輪餅,70,175.5618,1.404,31.6447,13.4865,64.046,5.688,19.781,466.901,3.9125,0
蛋塔,蛋塔,37.5,372.994,4.065,41.1186,668.4537,72.863,21.6938,180.226,85.423,1.4923,0
蛋塔(葡式),蛋塔,37.5,372.697,3.682,31.9464,963.6452,57.996,25.8478,189.868,119.216,1.2234,0
鬆餅,鬆餅,30,253.8404,3.234,55.0614,72.0759,104.903,2.6102,8.184,227.887,1.4165,0
土司,麵包,8,282.9013,9.532,48.5877,37.3407,22.7946,6.2709,6.58,443.4745,3.0078,0.074
土司(含全穀粉),麵包,8,283.2851,9.981,49.1583,5.0248,18.3046,6.1193,2.8175,354.922,4.1729,0
鮮奶布丁,布丁,15,110.1072,2.981,13.1104,312.3806,81.4619,5.0824,17.249,54.0663,0,0.9333
烤布丁,布丁,15,126.2004,4.73,16.1776,138.6653,118.16,4.73,110.4,63.31,0,0
黃布丁,布丁,15,109.7895,2.3,17.3221,113.3322,57,3.4779,9.5,66,0,0
巧克力冰淇淋,冰淇淋,75,184.3,4.2,21.4,0,68,9.1,7.9,80,0,0
香草冰淇淋,冰淇淋,75,182.085,2.5,22.643,0,66,9.057,9.8,102,0,0
羊羹,果凍,20,283,3,67.5,16.6665,15,0.8,0,38,3.1,3.1
豆花(花生),豆花,13.3,57.5786,2.03,11.11,0,6.42,0.73,0,8.21,0.7757,0
夾心餅乾(草莓),餅乾,28.2,496.4,4.8,66.4,18.3328,25,23.8,9,303,1.3,0
沙其馬,餅乾,28.2,483.7221,5.605,60.2468,205.3013,45.595,24.8395,37.654,127.724,1.6203,0
洋芋片,餅乾,28.2,569.8,5.2,51.5,0,17,38.6,0,383,2.2,0
蛋捲(芝麻),餅乾,28.2,546.6385,6.8,55.5123,478.3142,34,33.2877,146.1,225,1.1,0
雪餅,餅乾,28.2,484.668,5.752,72.2986,0,13.679,19.379,0,385.104,0.9727,0
魚酥,餅乾,28.2,584.6,8.3,46.1,86.6658,275,40.8,31,695,0.1,0
煎餅,餅乾,28.2,435.3208,6.292,78.3138,207.6033,55.526,11.6872,30.781,162.108,4.1436,0
營養口糧,餅乾,28.2,418.7833,6.759,79.6647,18.6562,94.356,8.7283,0,333.419,2.7331,0
蘇打餅乾(蔬菜),餅乾,28.2,506.3191,7.843,64.4593,79.9821,20.379,24.7453,5.783,388.426,2.7989,0
廣東粥,廣東粥,12,87.8,4.9,7.7,6699.933,5,4.2,54.4,271,0.2,0
冷凍火腿炒飯,炒飯,10,185.2,5,29.7,229.9977,23,5.6,36.6,220,2,4.5
冷凍蝦仁炒飯,炒飯,20,133.9,4.7,26.3,0,24,1.7,11,222,2.7,0
糯米飯糰,飯糰,11.3,333,5.9,38.3,46.6661,15,17.6,0,393,1.1,0
肉粽,肉粽,17.6,233.6,8.2,30.7,76.6659,8,8.8,60.7,343,0.6,0
炒板條,板條,23,147,4.2,23.7,16.6665,4,4.2,4.6,307,1.2,0
擔仔麵,擔仔麵,11.4,118.7,4.4,11.9,9.9999,6,6.5,9.9,312,2.5,0
冷凍叉燒包,叉燒包,7.3,261.3,8.8,47.5,6.6666,25,4.3,11.9,167,1.3,0
冷凍牛肉水餃,水餃,11,217.9442,8.92,22.0632,13.9332,4.31,10.72,17.79,383.48,1.2343,0
冷凍豬肉水餃,水餃,11,205.939,8.071,22.12,3.3333,18.4,9.665,24.9,447.175,0.905,0
冷凍豬肉韭菜水餃,水餃,11,225,8.4,23.1,33.333,18,11.4,31.1,439,1.8,0.4
冷凍豬肉蟹黃水餃,水餃,14,220.5092,7.771,26.0069,24.2496,7.76,9.79,17.124,472.08,1.3562,0
冷凍香菇雞肉水餃,水餃,14,216.3082,9.54,22.7025,49.8995,13.53,10.21,16.81,350.4,2.2759,0
冷凍素食水餃,水餃,11,168.7072,8.7425,25.9005,15.816,43.935,3.975,0,369.38,2.8199,0
冷凍鮪魚水餃,水餃,14,193.4154,9.047,20.823,33.6997,7.17,8.5,19.14,274.8,1.2823,0
冷凍豬肉熟水餃,水餃,14,244.69,7.176,26.1812,146.0474,7.83,12.84,17.3,333.09,2.1494,0
冷凍素食熟水餃,水餃,14,204.2944,7.155,32.8163,72.9387,15.43,5.45,,491.42,2.3204,0
冷凍酸菜焢肉包子,包子,12,296.9078,8.641,37.1819,262.1576,10.73,13.08,22.525,342.59,2.0519,0
冷凍芋泥包,包子,12,257.149,6.628,51.3485,5.8331,16.11,3.34,0,46.29,2.4085,0
冷凍豆沙包,包子,12,239.3,7.4,52.6,0,21,0.3,0,60,1.7,0
冷凍芝麻包,包子,12,351.2,7.2,49.4,0,4,14,8.9,24,0.6,1.3
冷凍蓮蓉包,包子,12,287.5,7.9,52.8,19.9992,24,5.5,6.6,82,2.4,0.4
冷凍叉燒包子,包子,12,274.1098,7.123,43.5716,12.2999,5.97,8.44,9.21,209.68,2.3143,0
冷凍牛肉包子,包子,12,265.1276,10.822,46.0662,100.2145,5.19,4.57,16.04,261.07,1.7776,0
冷凍豬肉包子,包子,12,268.57,7.6235,37.1581,88.2985,19.035,10.27,14.23,229.885,1.4932,0.9
冷凍豬肉湯包,小籠包,18,247.8,10.1,12.4,0,15,18.2,35.6,447,3,0
小籠包,小籠包,18,239.1,9.6,15.9,49.9995,11,15.5,2.1,248,1.2,0
冷凍素菜包子,包子,12,225,8.6,42.8,284.1553,28,2.4,,244,1.1,0.5
竹筍包,包子,12,203.3687,6.888,32.8962,0,13.977,5.4873,2.508,347.744,2.5769,0
豬血糕,豬血糕,10,192.0319,8.631,37.7745,0,8.6415,0.9153,23.719,414.1255,0.9139,0
鴨血糕,豬血糕,10,190.1499,6.687,39.1194,0,14.11,1.0621,12.218,1739.066,1.3173,0
肉圓,肉圓,15,134.9,3.1,27.4,113.3288,9,1.5,8.3,217,0.3,0
清蒸蝦仁肉圓,肉圓,18,149.2,4.6,16.7,13.3332,7,7.4,17.2,429,1.3,0
冷凍披薩(黑胡椒火腿)披薩,披薩,16.5,205.7934,9.323,27.7311,674.8717,32.44,6.85,14.64,404.9,2.0365,0
蚵仔煎,蚵仔煎,17.1,194,4.9,19.1,197.4969,31,11,100,479,0.5,0
棺材板,棺材板,15,261.3,7,19.7,16.6665,8,17.5,44.4,299,1.5,0
冷凍芝麻湯圓,湯圓,20,343.4,4.8,48.2,0,61,14.8,0,3,0.9,0
冷凍花生湯圓,湯圓,20,343.4,5.2,48.1,0,9,14.6,0,6,0.6,1.1
冷凍豬肉湯圓,湯圓,24,284,6.5,35.9,6.6666,6,12.8,14.2,210,0.4,
蛋餅皮,蛋餅,18.2,228.2283,5.719,43.7374,17.8543,15.361,3.6779,4.315,291.391,1.3492,0
冷凍蔥油餅,蔥油餅,13.2,245.378,9.09,50.5047,44.1484,8.355,1.06,8.67,601.975,1.2704,0.335
燒餅,燒餅,12,320.3,9.1,51.1,0,8,9.1,0,458,1.2,0
大餅包小餅(紅豆),燒餅,12,374.5,8.3,48.5,0,8,16.5,0,135,0.6,0
水煎包,水煎包,13,162.5599,4.27,25.2368,109.5207,40.697,5.3821,7.505,309.825,1.9531,2.61
牛肉餡餅,餡餅,15.6,221.8,9.6,23.5,3.3333,11,10.2,12.8,350,1.2,0
豬肉餡餅,餡餅,13.5,324.2368,6.218,23.0899,154.2379,15.193,23.3326,27.835,289.992,1.4941,0
冷凍燒賣,燒賣,32.5,183.3872,9.86,15.2537,28.6497,19.585,9.705,23.79,383.67,2.2063,1.27
冷凍冬菜蝦仁餛飩,餛飩,17.8,176.5,9.1,26.5,3.3333,33,4.3,43.5,316,2.3,0
冷凍豬肉餛飩,餛飩,8.5,221.7,11.1,23,16.6665,17,10.1,24,428,2.8,0
冷凍菜肉餛飩,餛飩,8.5,237.9,9.1,11.3,0,44,18.3,0,693,4.2,0.2
溫州餛飩,餛飩,8.5,141,6.5,12.4,41.6656,7,7.4,20.7,381,0.6,0
豬肉鍋貼,鍋貼,10,227.2,7.8,27.7,9.9999,9,9.8,11.4,314,1.5,0
冷凍白饅頭,饅頭,10,274.4946,7.412,57.0233,0,8.54,2.37,0,91.13,2.2883,0
白饅頭,饅頭,10,246.2,8.1,51.3,0,21,1.2,0,182,1.1,0
芋頭饅頭,饅頭,11,150.3086,5.726,31.5323,0,16.936,0.6356,0,70.888,2.2225,0
花捲,饅頭,11,224.4323,5.661,46.9716,66.2973,14.011,1.8777,0,425.189,1.4987,0
冷藏堅果饅頭,饅頭,14,296.0596,9.608,47.2909,0,10.73,8.82,0,118.8,5.458,0
黑糖饅頭,饅頭,14,229.9732,6.784,49.9804,0,19.199,0.8754,0,40.678,2.4815,0
冷凍銀絲卷(奶黃),饅頭,11,278.5476,8.931,54.4906,16.3665,8.84,3.25,0,10.75,2.1944,0
甘薯條,薯條,24,180.9002,1.772,27.7669,0,25.28,7.74,0,67.17,3.4577,29.22
馬鈴薯條,薯條,24,145.74,2.2,25.16,3.3333,11,4.8,0,17.5,3.45,9.25
豆干絲,滷味,18.9,165.01,18.31,4.8,0,286.66,8.63,0,548.85,2.55,0
五香豆干,滷味,18.9,188.06,19.27,7.02,0,273,9.7,0,445.47,2.2,0
小方豆干,滷味,18.9,154.52,17.4,3.51,0,685.34,8.6,0,115.56,3.26,0
黑豆干,滷味,18.9,181.4165,19.029,2.0613,0,334.555,12.5251,0,122.909,7.8353,0
豆腐皮,滷味,18.9,197.4156,25.29,4.5121,7.2497,61.96,8.83,0,22.56,0.6314,0.42
日式炸豆皮,滷味,18.9,383.2854,19.17,4.8745,0,292.02,32.42,0,1.23,2.3363,0.93
百頁豆腐,滷味,18.9,214.8346,13.38,2.4035,0,33.47,16.97,0,425.41,0.5147,0.95
傳統豆腐,滷味,18.9,87.29,8.46,5.97,0,139.85,3.41,0,2.15,0.56,0
凍豆腐,滷味,18.9,123.5426,12.919,4.5188,0,240.49,6.46,0,8.42,2.1743,5.66
小三角油豆腐,滷味,18.9,136.9458,12.723,1.4756,0,215.53,9.06,0,1.12,0.6943,2.89
嫩豆腐,滷味,18.9,49.7714,4.93,1.9571,0,13.12,2.65,0,32.02,0.8135,0
雞蛋豆腐,滷味,18.9,78.3488,6.867,2.7294,12.3999,9.3,4.52,110.02,306.88,0.3584,0.28
冷凍素雞塊,速食,12.25,203.3432,14.174,19.0134,4.2165,8.24,8.12,,455.61,1.2432,0
培根,速食,25,364.5309,13.5023,1.0555,62.4994,3.18,34.0333,55.1567,609.5367,0,45.14
牛肉漢堡肉,速食,30,246.3508,14.413,6.2825,73.1765,14.284,18.515,66.343,301.709,1.5331,0.317
熱狗,速食,25,267.4488,13.285,8.2172,80.0992,13.666,20.16,48.48,607.45,,45.37
德國香腸,香腸,25,271.869,15.908,4.5613,27.9372,17.978,21.4248,63.962,546.751,1.4157,66.003
冷凍魚卵卷,火鍋,14.83,114.6764,12.903,15.6536,47.9162,13.35,0.05,27.51,830.105,0,0
冷凍蟹味棒,火鍋,14.83,115.9,9.3,19,16.6665,90,0.3,,694,0,0
冷凍小香腸,火鍋,14.83,248.0356,14.82,7.4389,26.2664,2.01,17.76,45.517,722.43,0.42,0
冷凍花枝餃,火鍋,14.83,168.4184,12.356,20.9511,33.433,4.58,3.91,22.19,723.36,,0
冷凍香菇餃,火鍋,14.83,230.5814,12.3,11.5049,46.0995,3.57,15.29,39.15,672.55,1.1241,0
冷凍蛋餃,火鍋,14.83,182.28,12.07,2.04,288.5638,10.85,14.1,246.14,472.36,0.53,0.37
冷凍雪螺餃,火鍋,14.83,201.4938,11.59,16.745,8.1999,49.67,10.03,32.75,788.07,1.0581,0.55
冷凍魚餃,火鍋,14.83,277.1912,12.5485,12.9418,54.1495,39.81,19.47,60.27,663.36,0,0
冷凍蝦餃,火鍋,14.83,273.3348,11.3965,13.5122,45.1162,52.1,19.3,72.27,621.74,0,0
冷凍燕餃,火鍋,14.83,315.3166,12.8415,15.7339,17.6665,4.595,22.335,53.035,603.7,0,0.1
沖泡濃湯(海鮮),濃湯,20,333.5,11.2,64.4,28.3329,77,4.5,27.2,6118,4.7,0
玉米濃湯調理包,濃湯,20,363.7642,4.363,74.6776,3665.0154,42.062,5.903,0,4170.662,2.7626,1.848
