名稱,類別,單位價格,熱量(kcal),蛋白(g),碳水化合物(g),維生素A(I.U.),鈣(mg),脂肪(g),膽固醇(mg),鈉(mg),膳食纖維(g),維生素C(mg)
紅毛丹,水果,75,70.8751,1.0315,17.8662,2.4999,15.7514,0.657,0,8.1841,1.5051,32.9175
紅龍果(白肉),水果,23.4,48.8113,0.9307,12.4151,0.8795,4.4116,0.4393,0,0.0696,1.6795,5.308
紅龍果(紅肉),水果,15.9,48.0086,1.119,12.2776,0,9.0255,0.2498,0,0.272,1.2759,6.303
北蕉平均值,水果,5.8,82.3938,1.451,22.0845,3.3061,4.79,0.0722,0,0.1778,1.6184,10.6649
北蕉(11月取樣),水果,5.8,87.8324,1.593,23.4102,0,2.9791,0.0719,0,0.128,1.4991,17.334
北蕉(2月取樣),水果,5.8,90.0821,1.324,24.633,0,3.2604,0.0111,0,0.1743,1.9614,10.5
北蕉(5月取樣),水果,5.8,88.8546,1.557,23.6552,13.2245,3.2482,0.1666,0,0.262,1.8313,6.7385
北蕉(9月取樣),水果,5.8,62.8062,1.33,16.6394,0,9.6721,0.039,0,0.1469,1.1818,8.087
"北蕉(0天,綠皮)",水果,5.8,87.3498,1.303,23.3214,43.8349,3.557,0.2554,0,0.282,1.9519,11.475
北蕉(1天),水果,5.8,84.4012,1.432,22.2016,45.5332,3.588,0.2886,0,0.301,1.7198,6.424
北蕉(3天),水果,5.8,80.9237,1.361,21.2829,0,3.86,0.2992,0,0.344,1.7325,4.757
北蕉(7天),水果,5.8,65.296,1.287,17.0754,0,4.934,0.2485,0,0.223,1.6123,4.29
酪梨平均值(綠皮),水果,22.7,66.4062,1.5422,7.5381,329.1991,4.5926,4.8019,0,1.2332,3.8152,15.0752
酪梨(綠皮),水果,22.7,59.5472,1.6293,7.9446,424.4742,6.2672,3.6922,0,2.0583,3.3947,9.9293
酪梨(室溫存放0天),水果,22.7,73.2652,1.455,7.1315,142.261,2.918,5.9116,0,0.408,4.2357,20.221
酪梨(室溫存放3天),水果,22.7,79.8298,1.365,6.3301,101.2426,2.515,6.8229,0,0.309,2.9079,12.002
